feature_id,column,kind,coverage_scope,coverage_pct,recent_1y_coverage_pct,first_valid_date,last_valid_date,latest_value,latest_non_null
FREQ_008,qqq_vol_10d,raw_input,full_sample,0.9985441840151404,1.0,1999-03-24,2026-06-30,0.3069660335538504,True
FREQ_008,qqq_vol_20d,raw_input,full_sample,0.997088368030281,1.0,1999-04-08,2026-06-30,0.3400403032617584,True
FREQ_008,qqq_vol_60d,raw_input,full_sample,0.9912651040908429,1.0,1999-06-04,2026-06-30,0.2354241010482503,True
FREQ_008,realized_vol_252d,raw_input,full_sample,0.9633134371815403,1.0,2000-03-08,2026-06-30,0.1819330276687052,True
FREQ_008,vix,raw_input,full_sample,1.0,1.0,1999-03-10,2026-06-30,16.450000762939453,True
FREQ_008,vxn,raw_input,full_sample,0.931139903916145,1.0,2001-01-23,2026-06-30,27.11000061035156,True
FREQ_008,vol_20d_vs_252d,raw_input,full_sample,0.9633134371815403,1.0,2000-03-08,2026-06-30,1.869041084068375,True
FREQ_008,freq_008_vol_disagreement_score,experimental_output,full_sample,0.8947445042946571,1.0,2002-01-25,2026-06-30,0.8938492063492064,True
FREQ_008,freq_008_vol_disagreement_score_pct,experimental_output,full_sample,0.8765468044839132,1.0,2002-07-25,2026-06-30,0.9523809523809523,True
FREQ_008,freq_008_vol_disagreement_rank_change_20d,experimental_output,full_sample,0.8736351725141942,1.0,2002-08-22,2026-06-30,0.5912698412698412,True
FREQ_008,freq_008_vol_disagreement_flag,experimental_output,full_sample,0.8765468044839132,1.0,2002-07-25,2026-06-30,1.0,True
FREQ_007,vix9d_vs_vix,raw_input,full_sample,0.5670403261027807,1.0,2011-01-03,2026-06-30,0.3499984741210937,True
FREQ_007,vix3m_vs_vix,raw_input,full_sample,0.7308196243994759,1.0,2006-07-17,2026-06-30,3.679998397827149,True
FREQ_007,vol_term_inversion_flag,raw_input,full_sample,1.0,1.0,1999-03-10,2026-06-30,True,True
FREQ_007,vvix_level,raw_input,full_sample,0.7137865773766195,1.0,2007-01-03,2026-06-30,86.87000274658203,True
FREQ_007,skew_index,raw_input,full_sample,1.0,1.0,1999-03-10,2026-06-30,149.60000610351562,True
FREQ_007,panic_vol_flag,raw_input,full_sample,1.0,1.0,1999-03-10,2026-06-30,False,True
FREQ_007,freq_007_vol_term_daily_stress_count,experimental_output,full_sample,0.5670403261027807,1.0,2011-01-03,2026-06-30,1.0,True
FREQ_007,freq_007_vol_term_stress_persistence_5d,experimental_output,full_sample,0.5664579997088368,1.0,2011-01-07,2026-06-30,0.2,True
FREQ_007,freq_007_vol_term_stress_persistence_20d,experimental_output,full_sample,0.5642742757315475,1.0,2011-01-31,2026-06-30,0.35,True
FREQ_007,freq_007_vol_term_persistent_stress_flag,experimental_output,full_sample,0.5642742757315475,1.0,2011-01-31,2026-06-30,0.0,True
FREQ_010,tlt_ret_20d,raw_input,full_sample,0.8731984277187363,1.0,2002-08-27,2026-06-30,0.0111149752506622,True
FREQ_010,ief_ret_20d,raw_input,full_sample,0.8731984277187363,1.0,2002-08-27,2026-06-30,0.0042476535378208,True
FREQ_010,tlt_ief_rel_3m,raw_input,full_sample,0.8673751637792982,1.0,2002-10-23,2026-06-30,0.003969140582253,True
FREQ_010,xlu_vs_spy_3m,raw_input,full_sample,0.9912651040908429,1.0,1999-06-04,2026-06-30,-0.1569294182923019,True
FREQ_010,xlp_vs_spy_3m,raw_input,full_sample,0.9912651040908429,1.0,1999-06-04,2026-06-30,-0.1201493249036471,True
FREQ_010,ust10y_change_20d,raw_input,full_sample,0.997088368030281,1.0,1999-04-08,2026-06-30,-0.0899999999999998,True
FREQ_010,freq_010_safe_haven_confirmation_score,experimental_output,full_sample,0.8673751637792982,1.0,2002-10-23,2026-06-30,1.0,True
FREQ_010,freq_010_rates_led_stress_flag,experimental_output,full_sample,0.8673751637792982,1.0,2002-10-23,2026-06-30,0.0,True
FREQ_010,freq_010_riskoff_confirmation_flag,experimental_output,full_sample,0.8673751637792982,1.0,2002-10-23,2026-06-30,1.0,True
FREQ_010,freq_010_safe_haven_rotation_state,experimental_output,full_sample,0.8673751637792982,1.0,2002-10-23,2026-06-30,riskoff_confirmed,True
FREQ_007,freq_007_vol_term_daily_stress_count,experimental_output,pre_vix9d_history,0.0,,,,,False
FREQ_007,freq_007_vol_term_daily_stress_count,experimental_output,post_vix9d_history,1.0,,2011-01-03,2026-06-30,,False
