feature_id,title,ranking,input_availability,missing_inputs,min_coverage_pct,min_recent_1y_coverage_pct,latest_non_null_inputs,point_in_time_release_lag_risk,leakage_risk,redundancy_assessment,implementation_complexity,dashboard_relevance,candidate_hypothesis_relevance,decision_rationale,next_gate
FREQ_003,"False-calm internal deterioration count",implement_now,"8/8 raw inputs present","",0.4121,0.2937,"8/8","Low; market-derived trailing fields; no FRED release lag.","Low if thresholds are fixed or training-window-only and feature is conditioned only on same-date R2/MMDI state.","Distinct transform of existing R2, MMDI, downside-vol, trend, and drawdown fields.","low","High: directly addresses calm-state dashboard blind spot.","High: main RQ004_FALSE_CALM_BURDEN_REDUCTION candidate.","Best match to active rewrite queue; all inputs present and latest non-null, but downside_vol_20d sparsity needs explicit missing handling.",feasibility_passed
FREQ_004,"Repair episode quality score",implement_now,"9/9 raw inputs present","",0.9914,1.0,"9/9","Low; trailing price and MMDI-derived fields.","Medium if episode boundaries accidentally use future troughs or future repair outcomes; mitigate with trailing-only state machine.","Partially redundant daily flags; episode aggregation is new.","medium","Medium: not immediate dashboard candidate, but repairs failed repeatedly and need better structure.","High: only credible path to revisit I002_H004/I003_H004 false repair without repeating failed formulation.","Very strong coverage and no missing inputs; implement in feature_lab with strict trailing episode logic.",feasibility_passed
FREQ_007,"Volatility term-structure stress persistence",implement_now,"6/6 raw inputs present","",0.5670,1.0,"6/6","Low to medium; Yahoo/CBOE-like index histories have shorter starts but no macro release lag.","Low if persistence uses only trailing 5D/20D windows and missing early history is not backfilled as calm.","Distinct duration transform of existing VIX term, VVIX, SKEW, and panic-vol fields.","low","Medium-high: can explain volatility stress panel persistence without production changes.","Medium-high: confirms downside-vol and false-calm candidates.","Current coverage is complete and latest inputs are non-null; shorter history is acceptable for feature_lab first pass.",feasibility_passed
FREQ_008,"Regime-shift volatility disagreement",implement_now,"7/7 raw inputs present","",0.9311,1.0,"7/7","Low; market-derived realized and implied-vol proxies.","Low if rolling ranks are computed only from past data.","Distinct multi-proxy disagreement score; related ratios exist but not three-way rank-change disagreement.","low","Medium: interpretable regime warning for volatility sections.","Medium-high: supports I002_H001/I003_H001 comparison and false-calm confirmation.","Cleanest coverage profile among volatility candidates and low implementation risk.",feasibility_passed
FREQ_010,"Safe-haven rotation confirmation",implement_now,"6/6 raw inputs present","",0.8674,1.0,"6/6","Low to medium; ETF and Treasury data are date-local but ETF histories start later.","Low if classification uses only trailing returns and same-date rates changes.","Partially redundant with individual Treasury/defensive relatives; regime classification is new.","low","Medium: useful explanation layer for cross-asset stress state.","Medium: helps cross-asset acute-shock and leadership-context hypotheses.","Good coverage, no missing latest inputs, and low implementation risk; keep research-only until validated.",feasibility_passed
FREQ_001,"Cross-asset stress sequence score",design_more_first,"6/6 raw inputs present","",0.1064,1.0,"6/6","Medium; FRED credit/rates release timing plus IG OAS short history starting 2023-08-01.","Medium if sequence timing is derived using future equity damage; must define trailing-only sequence.","Partially redundant with existing stress changes; sequence ordering is new.","medium","High: directly addresses cross-asset lead-time blind spot.","High: successor concept for I002_H002/I003_H002.","Promising but short IG OAS history and VIX9D start require a legacy-compatible formula before implementation.",proposed_feature
FREQ_005,"Downside-volatility persistence ratio",design_more_first,"6/6 raw inputs present","",0.1338,0.1786,"4/6","Low; market-derived trailing fields.","Low if trailing windows only; missing upside/downside-vol values need predeclared treatment.","Distinct persistence idea but depends on sparse existing downside/upside ratio fields.","low","Medium-high: relates to active downside-volatility dashboard theme.","High: I002_H001/I003_H001 comparison candidate.","Do not implement until formula avoids over-reliance on sparse downside_upside_vol_ratio and non-latest upside_vol_20d.",proposed_feature
FREQ_006,"Leadership context gate",design_more_first,"6/6 raw inputs present","",0.5138,1.0,"6/6","Medium; ETF proxies are date-local but QQQE starts 2012 and Mag7 fixed-basket caveat remains.","Medium if fixed Mag7 basket is misrepresented as historical constituent breadth; mitigate as proxy-only.","Distinct conditional context gate, but inputs already exist as relative-strength fields.","medium","Medium: helpful only as context, not standalone dashboard state.","High: explicit RQ004_LEADERSHIP_CONTEXT_OVERLAY candidate.","Needs design of conditional dependency on another accepted feature before implementation.",proposed_feature
FREQ_009,"Macro liquidity drain acceleration",design_more_first,"6/6 raw inputs present","",0.8525,1.0,"6/6","Medium-high; WALCL, FEDFUNDS, NFCI are macro/FRED series with release lags and revisions.","Medium if weekly/monthly macro observations are forward-filled before actual release dates.","Partially redundant with liquidity_regime and liquidity_drain_proxy; acceleration across macro inputs is new.","medium","Medium: useful macro context but release-lag-sensitive.","Medium: cross-asset and false-calm context candidate.","Coverage is good, but release-lag handling must be specified before feature_lab implementation.",proposed_feature
FREQ_002,"Funding liquidity pressure bundle",defer,"6/6 raw inputs present","",0.1093,1.0,"6/6","Medium-high; SOFR starts 2018 and HY/IG spread pair starts 2023; FRED release/revision handling required.","Medium if macro/funding series are treated as known before release or if short-history fields dominate.","Partially redundant with existing individual funding and credit proxies.","medium","Medium: potentially useful, but not enough long-history support for core dashboard framing.","Medium: cross-asset stress and false-calm context candidate.","Too much of the proposed bundle depends on short-history SOFR and HY/IG spread inputs; defer until a two-tier legacy/recent design is defined.",proposed_feature
